id;texto;rotulo;fonte
1;Salário Mínimo: R$ 950,00. Bolsa Presidiário: R$ 1.319.18. Me convence que o PT sabe governar;FALSO;AOS FATOS
2;Empresa contratada pelo TSE para apuração dos votos tem ligação com o PT;FALSO;AOS FATOS
3;O Aloizio Mercadante, ministro da Educação, mobilizou estados e municípios para que fosse incluído no plano estadual ou no plano municipal a ideologia de gênero. - Jair Bolsonaro (PSL);FALSO;AOS FATOS
4;Há um complô espalhando fake news descaradas e descontextualizadas a respeito de declaração sobre salário feminino contra mim. - Jair Bolsonaro (PSL);FALSO;AOS FATOS
5;Somente em 2017, mais de 800 milhões de toneladas de cargas foram movimentadas nos 37 portos brasileiros. - Jair Bolsonaro (PSL);VERDADE;AOS FATOS
6;Nunca vi o Lula pronunciar essa palavra fascista para se referir a ninguém. - Fernando Haddad (PT);FALSO;AOS FATOS
7;O Mourão, por exemplo, foi ele próprio torturador. - Fernando Haddad (PT);FALSO;AOS FATOS
8;O PSB, todos os seus governadores e o seu presidente manifestaram apoio. - Fernando Haddad (PT);FALSO;AOS FATOS
9;Bolsonaro Nunca aprovou um projeto de segurança em 28 anos. - Fernando Haddad (PT);VERDADE;AOS FATOS
10;Ele Lula não pode aparecer mais que 25% no horário eleitoral. - Fernando Haddad (PT);VERDADE;AOS FATOS
11;Se eu ganhar, eu acabo com esse negócio de creche comunitária. O Estado não tem obrigação de olhar os filhos dos outros. Isso é obrigação dos pais. - Jair Bolsonaro (PSL);FALSO;AOS FATOS
12;Cortei 13% de custeio da cidade de São Paulo. - Fernando Haddad (PT);FALSO;AOS FATOS
13;Tem uma tabela de frete hoje que o Supremo Tribunal Federal já declarou constitucional.;FALSO;AOS FATOS
14;O que nos separa da vitória são oito ou nove pontos para afastar esse fantasma. - Fernando Haddad (PT);FALSO;AOS FATOS
15;O Estado do Rio de Janeiro é o Estado que mais hospitais universitários federais tem. - Fernando Haddad (PT);VERDADE;AOS FATOS
16;Criamos 20 milhões de empregos em 12 anos. - Fernando Haddad (PT);VERDADE;AOS FATOS
17;O plano de governo de Haddad propõe criar mais estatais. - Jair Bolsonaro (PSL);FALSO;AOS FATOS
18;Eu não prego a violência, muito pelo contrário, eu prego a não violência. - Jair Bolsonaro (PSL);FALSO;AOS FATOS
19;No Brasil, você não pode falar em mais ricos, tá todo mundo sufocado. - Jair Bolsonaro (PSL);FALSO;AOS FATOS
20;Em nenhum momento ele General Mourão falou em acabar com o 13º salário. - Jair Bolsonaro (PSL);FALSO;AOS FATOS
21;Tem mais emprego nos Estados Unidos com o novo governo Trump. - Jair Bolsonaro (PSL);VERDADE;AOS FATOS
22;Fim dos tempos: Governo Federal distribui Kit Satânico em escolas públicas através do MEC;FALSO;AOS FATOS
23;Vaza áudio: Haddad e Manuela tramando contra Exército e Bolsonaro;FALSO;AOS FATOS
24;Livro de Haddad cita mandamentos de Lênin;FALSO;AOS FATOS
25;Homem com camisa escrito Lula Livre é preso com mais de 200kg de maconha;FALSO;AOS FATOS
26;O candidato dos pobres, chegando agora a tarde no aeroporto de Congonhas em SP, numa Ferrari que vale R$ 1.800.000.00.;FALSO;AOS FATOS
27;Encontro de Bolsonaro com o Bispo Edir Macedo gera polêmica, ao sugerir a troca da imagem da Padroeira no Brasil;FALSO;AOS FATOS
28;O PL 236/2012 torna a pedofilia um ato legal. O sexo com crianças a partir de 12 anos deixaria de ser crime.;FALSO;AOS FATOS
29;A Fundação Transparência Política Internacional apontou o deputado federal Jair Messias Bolsonaro como o político mais honesto do mundo.;FALSO;AOS FATOS
30;O Brasil é um dos países que mais utiliza agrotóxicos no mundo. - Fernando Haddad (PT);VERDADE;AOS FATOS
31;Meu adversário Jair Bolsonaro defende torturador até hoje. - Fernando Haddad (PT);VERDADE;AOS FATOS
32;Na última pesquisa, 69% dos cidadãos brasileiros se declararam plenamente a favor da democracia como melhor regime de governo. - Fernando Haddad (PT);VERDADE;AOS FATOS
33;Nem o Lula teve uma votação tão maciça no primeiro turno quanto eu tive. - Jair Bolsonaro (PSL);FALSO;AOS FATOS
34;Haddad criou o kit gay. Você quer que o seu filho aprenda essas práticas a partir de com seis anos nas escolas? - Jair Bolsonaro (PSL);FALSO;AOS FATOS
35;Há estudos que apontam que quase 40% dos estudantes no ensino superior são analfabetos funcionais. - Jair Bolsonaro (PSL);FALSO;AOS FATOS
36;Meu adversário Fernando Haddad falou que vai combater o encarceramento e soltar criminosos da cadeia. - Jair Bolsonaro (PSL);FALSO;AOS FATOS
37;Estamos chegando a 4 trilhões da dívida interna. - Jair Bolsonaro (PSL);VERDADE;AOS FATOS
38;Haddad deixa escapar e confessa que Lula será o verdadeiro presidente em caso de vitória;FALSO;AOS FATOS
39;Manoela D'Avila, Vice de Haddad garante: a bandeira LGBT tremulará junto com a brasileira, com a volta do PT;FALSO;AOS FATOS
40;Nunca alguém que fez oposição ao PT no Nordeste recebeu uma votação tão expressiva.;FALSO;AOS FATOS
41;A redução da maioridade penal que o povo quer e deseja.;VERDADE;AOS FATOS
42;Como uma seção tem 777 eleitores aptos e um candidato consegue 9.909 votos?;FALSO;AOS FATOS
43;É engraçado ver a mídia brasileira de Fake News tentando descreditar a candidatura de Jair Bolsonaro. ERRADO! O cara é o único candidato presidencial respeitoso da lei, honesto, decente e confiável que o Brasil já teve.;FALSO;AOS FATOS
44;Haddad diz que a eleição já acabou, agora pede dinheiro para os eleitores.;FALSO;AOS FATOS
45;Urna está programa para autocompletar voto em Fernando Haddad;FALSO;AOS FATOS
46;Não vá votar com camiseta amarela ou de outra cor qualquer que possa lhe identificar como bolsonariano, pois logo que você votar os mesários podem colocar o número 17 do lado da sua assinatura de quem votou no Bolsonaro e assim anular o voto.;FALSO;AOS FATOS
47;Vivemos numa época onde querem que os padres se casem e que os casados se divorciem. Querem que os héteros tenham relacionamentos líquidos sem compromisso, mas que os gays se casem na Igreja;FALSO;AOS FATOS
48;Jean Wyllys é o futuro ministro da Educação do governo Fernando Haddad do PT;FALSO;AOS FATOS
49;A bíblia é uma piada, quem crê nela é palhaço, e as igrejas são um circo. - Jean Wyllys;FALSO;AOS FATOS
50;Alunos protestam sem roupa contra o candidato Bolsonaro;FALSO;AOS FATOS
51;Ciro Gomes se declara inimigo da Igreja Católica.;FALSO;AOS FATOS
52;PF apreende van com 152 urnas eletrônicas, dessas 121 estavam preenchidas com votos para o Haddad;FALSO;AOS FATOS
53;Você tem que ver quem estava no movimento ele não. Artistas que há muito vêm mamando na Lei Rouanet. Você não tem quem está no #elenão que não esteja na Lei Rouanet.;FALSO;AOS FATOS
54;Quando descobriram que eu sou homofóbico? Descobriram em 2010. Um plano do governo de, ao combater a homofobia, segundo eles, as escolas do ensino fundamental, ou seja, criancinhas a partir de 6 anos de idade a assistirem filmes de meninos se beijando, de meninas se acariciando.;FALSO;AOS FATOS
55;O processo está sendo conduzido por um delegado que por dois anos foi o homem de confiança de Fernando Pimentel, governador de Minas Gerais.;FALSO;AOS FATOS
56;Até hoje o PT defende o regime de Maduro, como defendia o regime de Chávez.;VERDADE;AOS FATOS
57;Ele, José Dirceu, fala também em tirar poderes do Supremo Tribunal Federal.;VERDADE;AOS FATOS
58;O Cristianismo vai desaparecer. Vai diminuir e encolher. Nós, somos mais populares que Jesus neste momento - Manuela D’Ávila;FALSO;AOS FATOS
59;Em São Paulo, fizemos superávit de R$ 5,3 bilhões. - Geraldo Alckmin (PSDB);VERDADE;AOS FATOS
60;No nosso período, a dívida caiu pela metade. - Fernando Haddad (PT);FALSO;AOS FATOS
61;Não recebo auxílio moradia, não recebo verba indenizatória. - Alvaro Dias (Podemos);VERDADE;AOS FATOS
62;2 milhões de bolsas concedidas pelo Prouni. - Fernando Haddad (PT);VERDADE;AOS FATOS
63;Vai mais dinheiro para o Fies do que para a universidade pública. - Guilherme Boulos (PSOL);FALSO;AOS FATOS
64;Mais de 52 milhões de brasileiros abaixo da linha da pobreza. - Alvaro Dias (Podemos);VERDADE;AOS FATOS
65;Bolsonaro recebeu auxílio moradia tendo casa. - Guilherme Boulos (PSOL);VERDADE;AOS FATOS
66;A Dilma prometeu entregar 6 mil creches, entregou 80. - Henrique Meirelles (MDB);FALSO;AOS FATOS
67;Quem tem um carro paga IPVA, quem tem jatinho, helicóptero, não paga um real. - Guilherme Boulos (PSOL);VERDADE;AOS FATOS
68;As ações da Taurus aumentaram 180% em 60 dias. - Ciro Gomes (PDT);VERDADE;AOS FATOS
69;Bolsonaro Tem o seu vice dizendo que vai acabar com 13º e adicional de férias. - Ciro Gomes (PDT);VERDADE;AOS FATOS
70;Zerei o ICMS da farinha do trigo, do pão, do macarrão. - Geraldo Alckmin (PSDB);VERDADE;AOS FATOS
71;O Lula saiu com 86% de aprovação. - Fernando Haddad (PT);VERDADE;AOS FATOS
72;O Brasil tem hoje 760 mil pessoas presas. - Ciro Gomes (PDT);VERDADE;AOS FATOS
73;70% dos 760 mil presos são jovens, presos pela polícia com minúsculas quantidades de drogas. - Ciro Gomes (PDT);FALSO;AOS FATOS
74;Mulher grávida poder trabalhar em local insalubre depois da reforma trabalhista. - Marina Rede (Rede);VERDADE;AOS FATOS
